,"rho(0,0)","rho(0,1)","rho(0,2)","rho(0,3)","rho(1,0)","rho(1,1)","rho(1,2)","rho(1,3)","rho(2,0)","rho(2,1)","rho(2,2)","rho(2,3)","rho(3,0)","rho(3,1)","rho(3,2)","rho(3,3)"
14284,(0.33233383063513006+0j),0j,0j,0j,0j,(0.16766616936486997+0j),(0.16466766127026009+0j),0j,0j,(0.16466766127026009+0j),(0.16766616936486997+0j),0j,0j,0j,0j,(0.33233383063513006+0j)
14285,(0.08929905354578117+0j),0j,0j,0j,0j,(0.41070094645421884+0j),(-0.3214018929084377+0j),0j,0j,(-0.3214018929084377+0j),(0.41070094645421884+0j),0j,0j,0j,0j,(0.08929905354578117+0j)
14286,(0.13962154706775598+0j),0j,0j,0j,0j,(0.360378452932244+0j),(-0.22075690586448804+0j),0j,0j,(-0.22075690586448804+0j),(0.360378452932244+0j),0j,0j,0j,0j,(0.13962154706775598+0j)
14287,(0.07769761926291198+0j),0j,0j,0j,0j,(0.4223023807370881+0j),(-0.3446047614741761+0j),0j,0j,(-0.3446047614741761+0j),(0.4223023807370881+0j),0j,0j,0j,0j,(0.07769761926291198+0j)
14288,(0.12093020990355592+0j),0j,0j,0j,0j,(0.3790697900964441+0j),(-0.2581395801928882+0j),0j,0j,(-0.2581395801928882+0j),(0.3790697900964441+0j),0j,0j,0j,0j,(0.12093020990355592+0j)
14289,(0.17145851355236233+0j),0j,0j,0j,0j,(0.3285414864476377+0j),(-0.15708297289527534+0j),0j,0j,(-0.15708297289527534+0j),(0.3285414864476377+0j),0j,0j,0j,0j,(0.17145851355236233+0j)
14290,(0.1519609685005717+0j),0j,0j,0j,0j,(0.34803903149942833+0j),(-0.19607806299885663+0j),0j,0j,(-0.19607806299885663+0j),(0.34803903149942833+0j),0j,0j,0j,0j,(0.1519609685005717+0j)
14291,(0.11456894239518753+0j),0j,0j,0j,0j,(0.3854310576048125+0j),(-0.270862115209625+0j),0j,0j,(-0.270862115209625+0j),(0.3854310576048125+0j),0j,0j,0j,0j,(0.11456894239518753+0j)
14292,(0.14938661385954746+0j),0j,0j,0j,0j,(0.3506133861404525+0j),(-0.20122677228090505+0j),0j,0j,(-0.20122677228090505+0j),(0.3506133861404525+0j),0j,0j,0j,0j,(0.14938661385954746+0j)
14293,(0.0884209591666505+0j),0j,0j,0j,0j,(0.41157904083334945+0j),(-0.32315808166669896+0j),0j,0j,(-0.32315808166669896+0j),(0.41157904083334945+0j),0j,0j,0j,0j,(0.0884209591666505+0j)
14294,(0.25147533356124446+0j),0j,0j,0j,0j,(0.24852466643875556+0j),(0.0029506671224888885+0j),0j,0j,(0.0029506671224888885+0j),(0.24852466643875556+0j),0j,0j,0j,0j,(0.25147533356124446+0j)
14295,(0.06775652486451665+0j),0j,0j,0j,0j,(0.4322434751354833+0j),(-0.3644869502709666+0j),0j,0j,(-0.3644869502709666+0j),(0.4322434751354833+0j),0j,0j,0j,0j,(0.06775652486451665+0j)
14296,(0.20378151428436383+0j),0j,0j,0j,0j,(0.2962184857156362+0j),(-0.09243697143127236+0j),0j,0j,(-0.09243697143127236+0j),(0.2962184857156362+0j),0j,0j,0j,0j,(0.20378151428436383+0j)
14297,(0.01324305147385694+0j),0j,0j,0j,0j,(0.48675694852614304+0j),(-0.4735138970522861+0j),0j,0j,(-0.4735138970522861+0j),(0.48675694852614304+0j),0j,0j,0j,0j,(0.01324305147385694+0j)
14298,(0.03888048017031419+0j),0j,0j,0j,0j,(0.4611195198296858+0j),(-0.4222390396593716+0j),0j,0j,(-0.4222390396593716+0j),(0.4611195198296858+0j),0j,0j,0j,0j,(0.03888048017031419+0j)
14299,(0.21927256865687364+0j),0j,0j,0j,0j,(0.28072743134312633+0j),(-0.0614548626862527+0j),0j,0j,(-0.0614548626862527+0j),(0.28072743134312633+0j),0j,0j,0j,0j,(0.21927256865687364+0j)
14300,(0.17597298133191144+0j),0j,0j,0j,0j,(0.32402701866808853+0j),(-0.14805403733617709+0j),0j,0j,(-0.14805403733617709+0j),(0.32402701866808853+0j),0j,0j,0j,0j,(0.17597298133191144+0j)
14301,(0.11795244333772555+0j),0j,0j,0j,0j,(0.38204755666227447+0j),(-0.26409511332454894+0j),0j,0j,(-0.26409511332454894+0j),(0.38204755666227447+0j),0j,0j,0j,0j,(0.11795244333772555+0j)
14302,(0.218001989643375+0j),0j,0j,0j,0j,(0.28199801035662503+0j),(-0.06399602071325003+0j),0j,0j,(-0.06399602071325003+0j),(0.28199801035662503+0j),0j,0j,0j,0j,(0.218001989643375+0j)
14303,(0.0783742122883068+0j),0j,0j,0j,0j,(0.4216257877116932+0j),(-0.34325157542338636+0j),0j,0j,(-0.34325157542338636+0j),(0.4216257877116932+0j),0j,0j,0j,0j,(0.0783742122883068+0j)
14304,(0.15966797970979052+0j),0j,0j,0j,0j,(0.3403320202902095+0j),(-0.18066404058041896+0j),0j,0j,(-0.18066404058041896+0j),(0.3403320202902095+0j),0j,0j,0j,0j,(0.15966797970979052+0j)
14305,(0.0295604608687421+0j),0j,0j,0j,0j,(0.47043953913125797+0j),(-0.4408790782625159+0j),0j,0j,(-0.4408790782625159+0j),(0.47043953913125797+0j),0j,0j,0j,0j,(0.0295604608687421+0j)
14306,(0.13058032070214146+0j),0j,0j,0j,0j,(0.36941967929785857+0j),(-0.23883935859571712+0j),0j,0j,(-0.23883935859571712+0j),(0.36941967929785857+0j),0j,0j,0j,0j,(0.13058032070214146+0j)
14307,(0.15366400944072328+0j),0j,0j,0j,0j,(0.3463359905592768+0j),(-0.1926719811185535+0j),0j,0j,(-0.1926719811185535+0j),(0.3463359905592768+0j),0j,0j,0j,0j,(0.15366400944072328+0j)
14308,(0.09810337617918999+0j),0j,0j,0j,0j,(0.40189662382081004+0j),(-0.3037932476416201+0j),0j,0j,(-0.3037932476416201+0j),(0.40189662382081004+0j),0j,0j,0j,0j,(0.09810337617918999+0j)
14309,(0.3043750218218203+0j),0j,0j,0j,0j,(0.1956249781781797+0j),(0.1087500436436406+0j),0j,0j,(0.1087500436436406+0j),(0.1956249781781797+0j),0j,0j,0j,0j,(0.3043750218218203+0j)
14310,(0.16326727082895032+0j),0j,0j,0j,0j,(0.3367327291710497+0j),(-0.17346545834209937+0j),0j,0j,(-0.17346545834209937+0j),(0.3367327291710497+0j),0j,0j,0j,0j,(0.16326727082895032+0j)
14311,(0.031014487339607075+0j),0j,0j,0j,0j,(0.46898551266039284+0j),(-0.43797102532078575+0j),0j,0j,(-0.43797102532078575+0j),(0.46898551266039284+0j),0j,0j,0j,0j,(0.031014487339607075+0j)
14312,(0.06046014410030246+0j),0j,0j,0j,0j,(0.4395398558996975+0j),(-0.37907971179939504+0j),0j,0j,(-0.37907971179939504+0j),(0.4395398558996975+0j),0j,0j,0j,0j,(0.06046014410030246+0j)
14313,(0.24961216328697455+0j),0j,0j,0j,0j,(0.25038783671302545+0j),(-0.0007756734260508935+0j),0j,0j,(-0.0007756734260508935+0j),(0.25038783671302545+0j),0j,0j,0j,0j,(0.24961216328697455+0j)
14314,(0.12205559405822433+0j),0j,0j,0j,0j,(0.37794440594177564+0j),(-0.2558888118835513+0j),0j,0j,(-0.2558888118835513+0j),(0.37794440594177564+0j),0j,0j,0j,0j,(0.12205559405822433+0j)
14315,(0.2866288296668275+0j),0j,0j,0j,0j,(0.21337117033317246+0j),(0.07325765933365506+0j),0j,0j,(0.07325765933365506+0j),(0.21337117033317246+0j),0j,0j,0j,0j,(0.2866288296668275+0j)
14316,(0.24466914856225716+0j),0j,0j,0j,0j,(0.2553308514377429+0j),(-0.010661702875485773+0j),0j,0j,(-0.010661702875485773+0j),(0.2553308514377429+0j),0j,0j,0j,0j,(0.24466914856225716+0j)
14317,(0.3307029140955567+0j),0j,0j,0j,0j,(0.16929708590444334+0j),(0.16140582819111335+0j),0j,0j,(0.16140582819111335+0j),(0.16929708590444334+0j),0j,0j,0j,0j,(0.3307029140955567+0j)
14318,(0.08196578356719053+0j),0j,0j,0j,0j,(0.4180342164328095+0j),(-0.336068432865619+0j),0j,0j,(-0.336068432865619+0j),(0.4180342164328095+0j),0j,0j,0j,0j,(0.08196578356719053+0j)
14319,(0.1372588914411988+0j),0j,0j,0j,0j,(0.36274110855880115+0j),(-0.22548221711760236+0j),0j,0j,(-0.22548221711760236+0j),(0.36274110855880115+0j),0j,0j,0j,0j,(0.1372588914411988+0j)
14320,(0.21592596160052271+0j),0j,0j,0j,0j,(0.28407403839947726+0j),(-0.06814807679895454+0j),0j,0j,(-0.06814807679895454+0j),(0.28407403839947726+0j),0j,0j,0j,0j,(0.21592596160052271+0j)
14321,(0.21442121578941664+0j),0j,0j,0j,0j,(0.2855787842105834+0j),(-0.0711575684211668+0j),0j,0j,(-0.0711575684211668+0j),(0.2855787842105834+0j),0j,0j,0j,0j,(0.21442121578941664+0j)
14322,(0.06093940167629245+0j),0j,0j,0j,0j,(0.43906059832370753+0j),(-0.37812119664741506+0j),0j,0j,(-0.37812119664741506+0j),(0.43906059832370753+0j),0j,0j,0j,0j,(0.06093940167629245+0j)
14323,(0.1890848360908098+0j),0j,0j,0j,0j,(0.3109151639091902+0j),(-0.12183032781838041+0j),0j,0j,(-0.12183032781838041+0j),(0.3109151639091902+0j),0j,0j,0j,0j,(0.1890848360908098+0j)
14324,(0.3241354120836169+0j),0j,0j,0j,0j,(0.17586458791638312+0j),(0.14827082416723378+0j),0j,0j,(0.14827082416723378+0j),(0.17586458791638312+0j),0j,0j,0j,0j,(0.3241354120836169+0j)
