,"rho(0,0)","rho(0,1)","rho(0,2)","rho(0,3)","rho(1,0)","rho(1,1)","rho(1,2)","rho(1,3)","rho(2,0)","rho(2,1)","rho(2,2)","rho(2,3)","rho(3,0)","rho(3,1)","rho(3,2)","rho(3,3)"
5421,(0.15296969231610705+0j),0j,0j,0j,0j,(0.347030307683893+0j),(-0.19406061536778593+0j),0j,0j,(-0.19406061536778593+0j),(0.347030307683893+0j),0j,0j,0j,0j,(0.15296969231610705+0j)
5422,(0.10442352247784895+0j),0j,0j,0j,0j,(0.3955764775221511+0j),(-0.29115295504430216+0j),0j,0j,(-0.29115295504430216+0j),(0.3955764775221511+0j),0j,0j,0j,0j,(0.10442352247784895+0j)
5423,(0.15222590783764986+0j),0j,0j,0j,0j,(0.34777409216235017+0j),(-0.1955481843247003+0j),0j,0j,(-0.1955481843247003+0j),(0.34777409216235017+0j),0j,0j,0j,0j,(0.15222590783764986+0j)
5424,(0.10730607294088274+0j),0j,0j,0j,0j,(0.3926939270591173+0j),(-0.2853878541182346+0j),0j,0j,(-0.2853878541182346+0j),(0.3926939270591173+0j),0j,0j,0j,0j,(0.10730607294088274+0j)
5425,(0.20254376237734575+0j),0j,0j,0j,0j,(0.2974562376226542+0j),(-0.09491247524530846+0j),0j,0j,(-0.09491247524530846+0j),(0.2974562376226542+0j),0j,0j,0j,0j,(0.20254376237734575+0j)
5426,(0.22666520525303357+0j),0j,0j,0j,0j,(0.2733347947469664+0j),(-0.04666958949393286+0j),0j,0j,(-0.04666958949393286+0j),(0.2733347947469664+0j),0j,0j,0j,0j,(0.22666520525303357+0j)
5427,(0.12427509025727927+0j),0j,0j,0j,0j,(0.3757249097427207+0j),(-0.25144981948544143+0j),0j,0j,(-0.25144981948544143+0j),(0.3757249097427207+0j),0j,0j,0j,0j,(0.12427509025727927+0j)
5428,(0.253059648022299+0j),0j,0j,0j,0j,(0.24694035197770098+0j),(0.006119296044598081+0j),0j,0j,(0.006119296044598081+0j),(0.24694035197770098+0j),0j,0j,0j,0j,(0.253059648022299+0j)
5429,(0.12437343215655638+0j),0j,0j,0j,0j,(0.3756265678434436+0j),(-0.25125313568688723+0j),0j,0j,(-0.25125313568688723+0j),(0.3756265678434436+0j),0j,0j,0j,0j,(0.12437343215655638+0j)
5430,(0.1270618889418633+0j),0j,0j,0j,0j,(0.3729381110581367+0j),(-0.24587622211627339+0j),0j,0j,(-0.24587622211627339+0j),(0.3729381110581367+0j),0j,0j,0j,0j,(0.1270618889418633+0j)
5431,(0.05486374307796148+0j),0j,0j,0j,0j,(0.4451362569220385+0j),(-0.390272513844077+0j),0j,0j,(-0.390272513844077+0j),(0.4451362569220385+0j),0j,0j,0j,0j,(0.05486374307796148+0j)
5432,(0.14947207737664545+0j),0j,0j,0j,0j,(0.3505279226233545+0j),(-0.20105584524670908+0j),0j,0j,(-0.20105584524670908+0j),(0.3505279226233545+0j),0j,0j,0j,0j,(0.14947207737664545+0j)
5433,(0.2596146802706247+0j),0j,0j,0j,0j,(0.24038531972937524+0j),(0.01922936054124946+0j),0j,0j,(0.01922936054124946+0j),(0.24038531972937524+0j),0j,0j,0j,0j,(0.2596146802706247+0j)
5434,(0.0689404945419833+0j),0j,0j,0j,0j,(0.4310595054580167+0j),(-0.3621190109160334+0j),0j,0j,(-0.3621190109160334+0j),(0.4310595054580167+0j),0j,0j,0j,0j,(0.0689404945419833+0j)
5435,(0.27134977539412625+0j),0j,0j,0j,0j,(0.22865022460587373+0j),(0.04269955078825253+0j),0j,0j,(0.04269955078825253+0j),(0.22865022460587373+0j),0j,0j,0j,0j,(0.27134977539412625+0j)
5436,(0.2518386352876506+0j),0j,0j,0j,0j,(0.2481613647123494+0j),(0.003677270575301206+0j),0j,0j,(0.003677270575301206+0j),(0.2481613647123494+0j),0j,0j,0j,0j,(0.2518386352876506+0j)
5437,(0.15163254394558454+0j),0j,0j,0j,0j,(0.34836745605441544+0j),(-0.1967349121088309+0j),0j,0j,(-0.1967349121088309+0j),(0.34836745605441544+0j),0j,0j,0j,0j,(0.15163254394558454+0j)
5438,(0.03461316950824775+0j),0j,0j,0j,0j,(0.46538683049175217+0j),(-0.4307736609835044+0j),0j,0j,(-0.4307736609835044+0j),(0.46538683049175217+0j),0j,0j,0j,0j,(0.03461316950824775+0j)
5439,(0.17438963040957667+0j),0j,0j,0j,0j,(0.32561036959042333+0j),(-0.15122073918084666+0j),0j,0j,(-0.15122073918084666+0j),(0.32561036959042333+0j),0j,0j,0j,0j,(0.17438963040957667+0j)
5440,(0.27767429665473087+0j),0j,0j,0j,0j,(0.2223257033452692+0j),(0.055348593309461666+0j),0j,0j,(0.055348593309461666+0j),(0.2223257033452692+0j),0j,0j,0j,0j,(0.27767429665473087+0j)
5441,(0.041921894324682275+0j),0j,0j,0j,0j,(0.45807810567531776+0j),(-0.41615621135063546+0j),0j,0j,(-0.41615621135063546+0j),(0.45807810567531776+0j),0j,0j,0j,0j,(0.041921894324682275+0j)
5442,(0.1990450170690071+0j),0j,0j,0j,0j,(0.30095498293099293+0j),(-0.10190996586198582+0j),0j,0j,(-0.10190996586198582+0j),(0.30095498293099293+0j),0j,0j,0j,0j,(0.1990450170690071+0j)
5443,(0.12233902507960442+0j),0j,0j,0j,0j,(0.3776609749203956+0j),(-0.25532194984079115+0j),0j,0j,(-0.25532194984079115+0j),(0.3776609749203956+0j),0j,0j,0j,0j,(0.12233902507960442+0j)
5444,(0.05412803722392392+0j),0j,0j,0j,0j,(0.4458719627760761+0j),(-0.3917439255521522+0j),0j,0j,(-0.3917439255521522+0j),(0.4458719627760761+0j),0j,0j,0j,0j,(0.05412803722392392+0j)
5445,(0.0719338157205299+0j),0j,0j,0j,0j,(0.42806618427947013+0j),(-0.35613236855894026+0j),0j,0j,(-0.35613236855894026+0j),(0.42806618427947013+0j),0j,0j,0j,0j,(0.0719338157205299+0j)
5446,(0.04814435845301953+0j),0j,0j,0j,0j,(0.4518556415469805+0j),(-0.403711283093961+0j),0j,0j,(-0.403711283093961+0j),(0.4518556415469805+0j),0j,0j,0j,0j,(0.04814435845301953+0j)
5447,(0.16026486725060549+0j),0j,0j,0j,0j,(0.33973513274939454+0j),(-0.17947026549878906+0j),0j,0j,(-0.17947026549878906+0j),(0.33973513274939454+0j),0j,0j,0j,0j,(0.16026486725060549+0j)
5448,(0.14563802529110723+0j),0j,0j,0j,0j,(0.3543619747088928+0j),(-0.20872394941778558+0j),0j,0j,(-0.20872394941778558+0j),(0.3543619747088928+0j),0j,0j,0j,0j,(0.14563802529110723+0j)
5449,(0.15467500176521048+0j),0j,0j,0j,0j,(0.34532499823478957+0j),(-0.19064999646957909+0j),0j,0j,(-0.19064999646957909+0j),(0.34532499823478957+0j),0j,0j,0j,0j,(0.15467500176521048+0j)
5450,(0.09801669065495006+0j),0j,0j,0j,0j,(0.4019833093450499+0j),(-0.30396661869009983+0j),0j,0j,(-0.30396661869009983+0j),(0.4019833093450499+0j),0j,0j,0j,0j,(0.09801669065495006+0j)
5451,(0.2562317786649389+0j),0j,0j,0j,0j,(0.24376822133506112+0j),(0.01246355732987777+0j),0j,0j,(0.01246355732987777+0j),(0.24376822133506112+0j),0j,0j,0j,0j,(0.2562317786649389+0j)
5452,(0.09607904980462867+0j),0j,0j,0j,0j,(0.4039209501953714+0j),(-0.3078419003907427+0j),0j,0j,(-0.3078419003907427+0j),(0.4039209501953714+0j),0j,0j,0j,0j,(0.09607904980462867+0j)
5453,(0.12652493928684666+0j),0j,0j,0j,0j,(0.37347506071315334+0j),(-0.24695012142630668+0j),0j,0j,(-0.24695012142630668+0j),(0.37347506071315334+0j),0j,0j,0j,0j,(0.12652493928684666+0j)
5454,(0.3208587200133453+0j),0j,0j,0j,0j,(0.17914127998665474+0j),(0.1417174400266905+0j),0j,0j,(0.1417174400266905+0j),(0.17914127998665474+0j),0j,0j,0j,0j,(0.3208587200133453+0j)
5455,(0.022322272345962277+0j),0j,0j,0j,0j,(0.47767772765403776+0j),(-0.4553554553080755+0j),0j,0j,(-0.4553554553080755+0j),(0.47767772765403776+0j),0j,0j,0j,0j,(0.022322272345962277+0j)
5456,(0.046163243966214434+0j),0j,0j,0j,0j,(0.4538367560337856+0j),(-0.4076735120675712+0j),0j,0j,(-0.4076735120675712+0j),(0.4538367560337856+0j),0j,0j,0j,0j,(0.046163243966214434+0j)
5457,(0.05073901419536209+0j),0j,0j,0j,0j,(0.4492609858046379+0j),(-0.3985219716092758+0j),0j,0j,(-0.3985219716092758+0j),(0.4492609858046379+0j),0j,0j,0j,0j,(0.05073901419536209+0j)
5458,(0.20680752260946994+0j),0j,0j,0j,0j,(0.2931924773905301+0j),(-0.08638495478106016+0j),0j,0j,(-0.08638495478106016+0j),(0.2931924773905301+0j),0j,0j,0j,0j,(0.20680752260946994+0j)
5459,(0.1349622768783941+0j),0j,0j,0j,0j,(0.36503772312160593+0j),(-0.23007544624321183+0j),0j,0j,(-0.23007544624321183+0j),(0.36503772312160593+0j),0j,0j,0j,0j,(0.1349622768783941+0j)
5460,(0.3187042458727129+0j),0j,0j,0j,0j,(0.18129575412728707+0j),(0.13740849174542583+0j),0j,0j,(0.13740849174542583+0j),(0.18129575412728707+0j),0j,0j,0j,0j,(0.3187042458727129+0j)
5461,(0.25576235462374397+0j),0j,0j,0j,0j,(0.24423764537625609+0j),(0.011524709247487868+0j),0j,0j,(0.011524709247487868+0j),(0.24423764537625609+0j),0j,0j,0j,0j,(0.25576235462374397+0j)
5462,(0.13080687415469186+0j),0j,0j,0j,0j,(0.36919312584530806+0j),(-0.2383862516906162+0j),0j,0j,(-0.2383862516906162+0j),(0.36919312584530806+0j),0j,0j,0j,0j,(0.13080687415469186+0j)
5463,(0.31324422651562145+0j),0j,0j,0j,0j,(0.1867557734843786+0j),(0.12648845303124284+0j),0j,0j,(0.12648845303124284+0j),(0.1867557734843786+0j),0j,0j,0j,0j,(0.31324422651562145+0j)
5464,(0.08293723392314253+0j),0j,0j,0j,0j,(0.41706276607685744+0j),(-0.3341255321537149+0j),0j,0j,(-0.3341255321537149+0j),(0.41706276607685744+0j),0j,0j,0j,0j,(0.08293723392314253+0j)
5465,(0.1721540271726983+0j),0j,0j,0j,0j,(0.32784597282730177+0j),(-0.15569194565460348+0j),0j,0j,(-0.15569194565460348+0j),(0.32784597282730177+0j),0j,0j,0j,0j,(0.1721540271726983+0j)
5466,(0.22732073674855569+0j),0j,0j,0j,0j,(0.27267926325144437+0j),(-0.045358526502888706+0j),0j,0j,(-0.045358526502888706+0j),(0.27267926325144437+0j),0j,0j,0j,0j,(0.22732073674855569+0j)
5467,(0.06397882691226121+0j),0j,0j,0j,0j,(0.43602117308773874+0j),(-0.37204234617547755+0j),0j,0j,(-0.37204234617547755+0j),(0.43602117308773874+0j),0j,0j,0j,0j,(0.06397882691226121+0j)
5468,(0.3141700130472612+0j),0j,0j,0j,0j,(0.18582998695273875+0j),(0.12834002609452252+0j),0j,0j,(0.12834002609452252+0j),(0.18582998695273875+0j),0j,0j,0j,0j,(0.3141700130472612+0j)
5469,(0.09820314224102447+0j),0j,0j,0j,0j,(0.40179685775897556+0j),(-0.3035937155179511+0j),0j,0j,(-0.3035937155179511+0j),(0.40179685775897556+0j),0j,0j,0j,0j,(0.09820314224102447+0j)
5470,(0.1420007734663755+0j),0j,0j,0j,0j,(0.3579992265336245+0j),(-0.215998453067249+0j),0j,0j,(-0.215998453067249+0j),(0.3579992265336245+0j),0j,0j,0j,0j,(0.1420007734663755+0j)
5471,(0.22189173003890647+0j),0j,0j,0j,0j,(0.27810826996109356+0j),(-0.056216539922187087+0j),0j,0j,(-0.056216539922187087+0j),(0.27810826996109356+0j),0j,0j,0j,0j,(0.22189173003890647+0j)
5472,(0.2025972753484287+0j),0j,0j,0j,0j,(0.29740272465157136+0j),(-0.09480544930314265+0j),0j,0j,(-0.09480544930314265+0j),(0.29740272465157136+0j),0j,0j,0j,0j,(0.2025972753484287+0j)
5473,(0.019420836638651705+0j),0j,0j,0j,0j,(0.48057916336134837+0j),(-0.4611583267226967+0j),0j,0j,(-0.4611583267226967+0j),(0.48057916336134837+0j),0j,0j,0j,0j,(0.019420836638651705+0j)
5474,(0.28069570854350695+0j),0j,0j,0j,0j,(0.21930429145649305+0j),(0.06139141708701394+0j),0j,0j,(0.06139141708701394+0j),(0.21930429145649305+0j),0j,0j,0j,0j,(0.28069570854350695+0j)
5475,(0.1113151131630095+0j),0j,0j,0j,0j,(0.3886848868369905+0j),(-0.27736977367398097+0j),0j,0j,(-0.27736977367398097+0j),(0.3886848868369905+0j),0j,0j,0j,0j,(0.1113151131630095+0j)
5476,(0.3039651692244327+0j),0j,0j,0j,0j,(0.19603483077556735+0j),(0.10793033844886532+0j),0j,0j,(0.10793033844886532+0j),(0.19603483077556735+0j),0j,0j,0j,0j,(0.3039651692244327+0j)
5477,(0.32116894268978624+0j),0j,0j,0j,0j,(0.17883105731021381+0j),(0.14233788537957243+0j),0j,0j,(0.14233788537957243+0j),(0.17883105731021381+0j),0j,0j,0j,0j,(0.32116894268978624+0j)
5478,(0.08862419751261547+0j),0j,0j,0j,0j,(0.41137580248738453+0j),(-0.32275160497476907+0j),0j,0j,(-0.32275160497476907+0j),(0.41137580248738453+0j),0j,0j,0j,0j,(0.08862419751261547+0j)
5479,(0.3084284352300146+0j),0j,0j,0j,0j,(0.19157156476998538+0j),(0.11685687046002924+0j),0j,0j,(0.11685687046002924+0j),(0.19157156476998538+0j),0j,0j,0j,0j,(0.3084284352300146+0j)
5480,(0.3165423137265597+0j),0j,0j,0j,0j,(0.18345768627344028+0j),(0.13308462745311944+0j),0j,0j,(0.13308462745311944+0j),(0.18345768627344028+0j),0j,0j,0j,0j,(0.3165423137265597+0j)
5481,(0.15948888169368441+0j),0j,0j,0j,0j,(0.3405111183063156+0j),(-0.18102223661263117+0j),0j,0j,(-0.18102223661263117+0j),(0.3405111183063156+0j),0j,0j,0j,0j,(0.15948888169368441+0j)
5482,(0.31183576140578423+0j),0j,0j,0j,0j,(0.1881642385942158+0j),(0.12367152281156842+0j),0j,0j,(0.12367152281156842+0j),(0.1881642385942158+0j),0j,0j,0j,0j,(0.31183576140578423+0j)
5483,(0.09565477593530654+0j),0j,0j,0j,0j,(0.40434522406469353+0j),(-0.308690448129387+0j),0j,0j,(-0.308690448129387+0j),(0.40434522406469353+0j),0j,0j,0j,0j,(0.09565477593530654+0j)
5484,(0.22368170320382047+0j),0j,0j,0j,0j,(0.2763182967961795+0j),(-0.05263659359235902+0j),0j,0j,(-0.05263659359235902+0j),(0.2763182967961795+0j),0j,0j,0j,0j,(0.22368170320382047+0j)
5485,(0.0480262142182389+0j),0j,0j,0j,0j,(0.4519737857817612+0j),(-0.4039475715635223+0j),0j,0j,(-0.4039475715635223+0j),(0.4519737857817612+0j),0j,0j,0j,0j,(0.0480262142182389+0j)
5486,(0.07062500148246255+0j),0j,0j,0j,0j,(0.4293749985175374+0j),(-0.3587499970350749+0j),0j,0j,(-0.3587499970350749+0j),(0.4293749985175374+0j),0j,0j,0j,0j,(0.07062500148246255+0j)
5487,(0.11464257585664384+0j),0j,0j,0j,0j,(0.3853574241433561+0j),(-0.2707148482867123+0j),0j,0j,(-0.2707148482867123+0j),(0.3853574241433561+0j),0j,0j,0j,0j,(0.11464257585664384+0j)
5488,(0.15144084147275336+0j),0j,0j,0j,0j,(0.34855915852724667+0j),(-0.1971183170544933+0j),0j,0j,(-0.1971183170544933+0j),(0.34855915852724667+0j),0j,0j,0j,0j,(0.15144084147275336+0j)
5489,(0.11947333706951527+0j),0j,0j,0j,0j,(0.3805266629304847+0j),(-0.2610533258609694+0j),0j,0j,(-0.2610533258609694+0j),(0.3805266629304847+0j),0j,0j,0j,0j,(0.11947333706951527+0j)
5490,(0.07670981201688133+0j),0j,0j,0j,0j,(0.4232901879831187+0j),(-0.34658037596623736+0j),0j,0j,(-0.34658037596623736+0j),(0.4232901879831187+0j),0j,0j,0j,0j,(0.07670981201688133+0j)
5491,(0.17590479700540326+0j),0j,0j,0j,0j,(0.32409520299459665+0j),(-0.1481904059891934+0j),0j,0j,(-0.1481904059891934+0j),(0.32409520299459665+0j),0j,0j,0j,0j,(0.17590479700540326+0j)
5492,(0.15095581019640963+0j),0j,0j,0j,0j,(0.34904418980359037+0j),(-0.19808837960718073+0j),0j,0j,(-0.19808837960718073+0j),(0.34904418980359037+0j),0j,0j,0j,0j,(0.15095581019640963+0j)
5493,(0.2540936052093758+0j),0j,0j,0j,0j,(0.24590639479062418+0j),(0.008187210418751627+0j),0j,0j,(0.008187210418751627+0j),(0.24590639479062418+0j),0j,0j,0j,0j,(0.2540936052093758+0j)
5494,(0.10829636061551591+0j),0j,0j,0j,0j,(0.39170363938448416+0j),(-0.28340727876896826+0j),0j,0j,(-0.28340727876896826+0j),(0.39170363938448416+0j),0j,0j,0j,0j,(0.10829636061551591+0j)
5495,(0.061512016635637524+0j),0j,0j,0j,0j,(0.43848798336436245+0j),(-0.3769759667287249+0j),0j,0j,(-0.3769759667287249+0j),(0.43848798336436245+0j),0j,0j,0j,0j,(0.061512016635637524+0j)
5496,(0.2945140249766009+0j),0j,0j,0j,0j,(0.20548597502339908+0j),(0.08902804995320182+0j),0j,0j,(0.08902804995320182+0j),(0.20548597502339908+0j),0j,0j,0j,0j,(0.2945140249766009+0j)
5497,(0.04111771220651981+0j),0j,0j,0j,0j,(0.45888228779348017+0j),(-0.41776457558696034+0j),0j,0j,(-0.41776457558696034+0j),(0.45888228779348017+0j),0j,0j,0j,0j,(0.04111771220651981+0j)
5498,(0.234136689650437+0j),0j,0j,0j,0j,(0.26586331034956295+0j),(-0.03172662069912594+0j),0j,0j,(-0.03172662069912594+0j),(0.26586331034956295+0j),0j,0j,0j,0j,(0.234136689650437+0j)
5499,(0.030857457358781735+0j),0j,0j,0j,0j,(0.4691425426412183+0j),(-0.43828508528243654+0j),0j,0j,(-0.43828508528243654+0j),(0.4691425426412183+0j),0j,0j,0j,0j,(0.030857457358781735+0j)
5500,(0.29663178247424776+0j),0j,0j,0j,0j,(0.20336821752575227+0j),(0.0932635649484955+0j),0j,0j,(0.0932635649484955+0j),(0.20336821752575227+0j),0j,0j,0j,0j,(0.29663178247424776+0j)
5501,(0.21675477592403547+0j),0j,0j,0j,0j,(0.28324522407596453+0j),(-0.06649044815192906+0j),0j,0j,(-0.06649044815192906+0j),(0.28324522407596453+0j),0j,0j,0j,0j,(0.21675477592403547+0j)
5502,(0.31636388112160263+0j),0j,0j,0j,0j,(0.18363611887839737+0j),(0.13272776224320526+0j),0j,0j,(0.13272776224320526+0j),(0.18363611887839737+0j),0j,0j,0j,0j,(0.31636388112160263+0j)
5503,(0.08055030844289618+0j),0j,0j,0j,0j,(0.4194496915571038+0j),(-0.33889938311420764+0j),0j,0j,(-0.33889938311420764+0j),(0.4194496915571038+0j),0j,0j,0j,0j,(0.08055030844289618+0j)
5504,(0.12399866093914749+0j),0j,0j,0j,0j,(0.3760013390608525+0j),(-0.252002678121705+0j),0j,0j,(-0.252002678121705+0j),(0.3760013390608525+0j),0j,0j,0j,0j,(0.12399866093914749+0j)
5505,(0.2272786248858528+0j),0j,0j,0j,0j,(0.27272137511414724+0j),(-0.045442750228294436+0j),0j,0j,(-0.045442750228294436+0j),(0.27272137511414724+0j),0j,0j,0j,0j,(0.2272786248858528+0j)
5506,(0.18494163919101786+0j),0j,0j,0j,0j,(0.3150583608089822+0j),(-0.13011672161796434+0j),0j,0j,(-0.13011672161796434+0j),(0.3150583608089822+0j),0j,0j,0j,0j,(0.18494163919101786+0j)
5507,(0.17998720598354354+0j),0j,0j,0j,0j,(0.32001279401645644+0j),(-0.14002558803291287+0j),0j,0j,(-0.14002558803291287+0j),(0.32001279401645644+0j),0j,0j,0j,0j,(0.17998720598354354+0j)
5508,(0.07530777857335019+0j),0j,0j,0j,0j,(0.42469222142664986+0j),(-0.34938444285329967+0j),0j,0j,(-0.34938444285329967+0j),(0.42469222142664986+0j),0j,0j,0j,0j,(0.07530777857335019+0j)
5509,(0.10741338557826159+0j),0j,0j,0j,0j,(0.3925866144217384+0j),(-0.28517322884347684+0j),0j,0j,(-0.28517322884347684+0j),(0.3925866144217384+0j),0j,0j,0j,0j,(0.10741338557826159+0j)
5510,(0.31197717686362425+0j),0j,0j,0j,0j,(0.18802282313637572+0j),(0.12395435372724857+0j),0j,0j,(0.12395435372724857+0j),(0.18802282313637572+0j),0j,0j,0j,0j,(0.31197717686362425+0j)
5511,(0.2156972125640394+0j),0j,0j,0j,0j,(0.28430278743596066+0j),(-0.06860557487192129+0j),0j,0j,(-0.06860557487192129+0j),(0.28430278743596066+0j),0j,0j,0j,0j,(0.2156972125640394+0j)
5512,(0.2705814262689223+0j),0j,0j,0j,0j,(0.2294185737310778+0j),(0.04116285253784447+0j),0j,0j,(0.04116285253784447+0j),(0.2294185737310778+0j),0j,0j,0j,0j,(0.2705814262689223+0j)
5513,(0.27191769532012683+0j),0j,0j,0j,0j,(0.22808230467987317+0j),(0.0438353906402537+0j),0j,0j,(0.0438353906402537+0j),(0.22808230467987317+0j),0j,0j,0j,0j,(0.27191769532012683+0j)
5514,(0.19734634599348674+0j),0j,0j,0j,0j,(0.3026536540065133+0j),(-0.10530730801302653+0j),0j,0j,(-0.10530730801302653+0j),(0.3026536540065133+0j),0j,0j,0j,0j,(0.19734634599348674+0j)
5515,(0.25793738489228035+0j),0j,0j,0j,0j,(0.2420626151077197+0j),(0.015874769784560632+0j),0j,0j,(0.015874769784560632+0j),(0.2420626151077197+0j),0j,0j,0j,0j,(0.25793738489228035+0j)
5516,(0.11672037096064518+0j),0j,0j,0j,0j,(0.38327962903935486+0j),(-0.26655925807870967+0j),0j,0j,(-0.26655925807870967+0j),(0.38327962903935486+0j),0j,0j,0j,0j,(0.11672037096064518+0j)
5517,(0.2436519376118651+0j),0j,0j,0j,0j,(0.2563480623881349+0j),(-0.012696124776269802+0j),0j,0j,(-0.012696124776269802+0j),(0.2563480623881349+0j),0j,0j,0j,0j,(0.2436519376118651+0j)
5518,(0.14330168990081354+0j),0j,0j,0j,0j,(0.35669831009918646+0j),(-0.2133966201983729+0j),0j,0j,(-0.2133966201983729+0j),(0.35669831009918646+0j),0j,0j,0j,0j,(0.14330168990081354+0j)
5519,(0.20385782924617443+0j),0j,0j,0j,0j,(0.2961421707538256+0j),(-0.09228434150765115+0j),0j,0j,(-0.09228434150765115+0j),(0.2961421707538256+0j),0j,0j,0j,0j,(0.20385782924617443+0j)
5520,(0.09125896458380058+0j),0j,0j,0j,0j,(0.40874103541619944+0j),(-0.3174820708323989+0j),0j,0j,(-0.3174820708323989+0j),(0.40874103541619944+0j),0j,0j,0j,0j,(0.09125896458380058+0j)
5521,(0.002513444803491278+0j),0j,0j,0j,0j,(0.49748655519650875+0j),(-0.49497311039301745+0j),0j,0j,(-0.49497311039301745+0j),(0.49748655519650875+0j),0j,0j,0j,0j,(0.002513444803491278+0j)
5522,(0.31782949989565956+0j),0j,0j,0j,0j,(0.18217050010434044+0j),(0.13565899979131912+0j),0j,0j,(0.13565899979131912+0j),(0.18217050010434044+0j),0j,0j,0j,0j,(0.31782949989565956+0j)
5523,(0.11603588253631252+0j),0j,0j,0j,0j,(0.3839641174636874+0j),(-0.2679282349273749+0j),0j,0j,(-0.2679282349273749+0j),(0.3839641174636874+0j),0j,0j,0j,0j,(0.11603588253631252+0j)
5524,(0.1138429592868219+0j),0j,0j,0j,0j,(0.38615704071317813+0j),(-0.2723140814263562+0j),0j,0j,(-0.2723140814263562+0j),(0.38615704071317813+0j),0j,0j,0j,0j,(0.1138429592868219+0j)
5525,(0.2462876712759502+0j),0j,0j,0j,0j,(0.2537123287240498+0j),(-0.007424657448099614+0j),0j,0j,(-0.007424657448099614+0j),(0.2537123287240498+0j),0j,0j,0j,0j,(0.2462876712759502+0j)
5526,(0.11397835175874464+0j),0j,0j,0j,0j,(0.3860216482412554+0j),(-0.27204329648251074+0j),0j,0j,(-0.27204329648251074+0j),(0.3860216482412554+0j),0j,0j,0j,0j,(0.11397835175874464+0j)
5527,(0.042153629071420236+0j),0j,0j,0j,0j,(0.4578463709285797+0j),(-0.4156927418571595+0j),0j,0j,(-0.4156927418571595+0j),(0.4578463709285797+0j),0j,0j,0j,0j,(0.042153629071420236+0j)
5528,(0.10052941683753384+0j),0j,0j,0j,0j,(0.3994705831624661+0j),(-0.29894116632493223+0j),0j,0j,(-0.29894116632493223+0j),(0.3994705831624661+0j),0j,0j,0j,0j,(0.10052941683753384+0j)
5529,(0.3028968722629754+0j),0j,0j,0j,0j,(0.19710312773702462+0j),(0.10579374452595076+0j),0j,0j,(0.10579374452595076+0j),(0.19710312773702462+0j),0j,0j,0j,0j,(0.3028968722629754+0j)
5530,(0.26672571071510104+0j),0j,0j,0j,0j,(0.23327428928489888+0j),(0.03345142143020218+0j),0j,0j,(0.03345142143020218+0j),(0.23327428928489888+0j),0j,0j,0j,0j,(0.26672571071510104+0j)
5531,(0.19320713583941881+0j),0j,0j,0j,0j,(0.3067928641605812+0j),(-0.11358572832116239+0j),0j,0j,(-0.11358572832116239+0j),(0.3067928641605812+0j),0j,0j,0j,0j,(0.19320713583941881+0j)
5532,(0.21504975950213487+0j),0j,0j,0j,0j,(0.28495024049786516+0j),(-0.06990048099573029+0j),0j,0j,(-0.06990048099573029+0j),(0.28495024049786516+0j),0j,0j,0j,0j,(0.21504975950213487+0j)
5533,(0.16676218453150077+0j),0j,0j,0j,0j,(0.3332378154684992+0j),(-0.1664756309369984+0j),0j,0j,(-0.1664756309369984+0j),(0.3332378154684992+0j),0j,0j,0j,0j,(0.16676218453150077+0j)
5534,(0.3125351741547853+0j),0j,0j,0j,0j,(0.18746482584521468+0j),(0.1250703483095706+0j),0j,0j,(0.1250703483095706+0j),(0.18746482584521468+0j),0j,0j,0j,0j,(0.3125351741547853+0j)
5535,(0.13656394957560036+0j),0j,0j,0j,0j,(0.36343605042439964+0j),(-0.22687210084879927+0j),0j,0j,(-0.22687210084879927+0j),(0.36343605042439964+0j),0j,0j,0j,0j,(0.13656394957560036+0j)
5536,(0.006990028759096131+0j),0j,0j,0j,0j,(0.49300997124090384+0j),(-0.4860199424818077+0j),0j,0j,(-0.4860199424818077+0j),(0.49300997124090384+0j),0j,0j,0j,0j,(0.006990028759096131+0j)
5537,(0.06342917724597602+0j),0j,0j,0j,0j,(0.436570822754024+0j),(-0.37314164550804796+0j),0j,0j,(-0.37314164550804796+0j),(0.436570822754024+0j),0j,0j,0j,0j,(0.06342917724597602+0j)
5538,(0.12524049785043423+0j),0j,0j,0j,0j,(0.37475950214956577+0j),(-0.24951900429913154+0j),0j,0j,(-0.24951900429913154+0j),(0.37475950214956577+0j),0j,0j,0j,0j,(0.12524049785043423+0j)
5539,(0.2567288653565254+0j),0j,0j,0j,0j,(0.24327113464347455+0j),(0.013457730713050859+0j),0j,0j,(0.013457730713050859+0j),(0.24327113464347455+0j),0j,0j,0j,0j,(0.2567288653565254+0j)
5540,(0.3137958720003314+0j),0j,0j,0j,0j,(0.1862041279996686+0j),(0.12759174400066278+0j),0j,0j,(0.12759174400066278+0j),(0.1862041279996686+0j),0j,0j,0j,0j,(0.3137958720003314+0j)
5541,(0.3003746228721612+0j),0j,0j,0j,0j,(0.1996253771278388+0j),(0.10074924574432242+0j),0j,0j,(0.10074924574432242+0j),(0.1996253771278388+0j),0j,0j,0j,0j,(0.3003746228721612+0j)
5542,(0.3064736459467207+0j),0j,0j,0j,0j,(0.19352635405327928+0j),(0.11294729189344148+0j),0j,0j,(0.11294729189344148+0j),(0.19352635405327928+0j),0j,0j,0j,0j,(0.3064736459467207+0j)
